(1)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(2)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(3)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(4)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(5)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(6)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(7)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(8)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(9)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(10)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(11)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(12)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(13)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(14)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(15)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(16)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(17)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(18)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(19)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(20)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(21)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(22)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(23)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(24)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(25)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(26)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(27)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(28)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(29)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
(30)
position 10000 1 -1 
rotation -1.57 0 0 
scale 0.5 0.5 0.1
